id,type,question,answer_len,context_count
1,simple_fact,GB17761-2024《电动自行车安全技术规范》规定了电动...,439,4
2,simple_fact,电动自行车的防篡改设计要防止擅自改动哪些参数？...,618,4
3,simple_fact,电动自行车用锂离子电池的醒目位置应清晰标识哪些标志？...,478,4
4,simple_fact,GB43854-2024 的适用范围是什么？...,244,4
5,simple_fact,《道路交通安全法》规定对道路交通安全违法行为的处罚种类包括哪...,415,4
6,precise_number,电动自行车使用电驱动功能行驶时，最高设计车速不应超过多少？...,36,4
7,precise_number,装配完整的电动自行车整车质量的上限是多少？...,114,4
8,precise_number,电动自行车用锂离子电池组在发出热失控报警后，多长时间内应不起...,271,4
9,precise_number,饮酒后驾驶机动车的，依据《道路交通安全法》如何处罚？...,60,4
10,cross_doc_compare,电动自行车整车的安全技术要求和其所用锂离子蓄电池的安全要求，...,128,4
11,cross_doc_compare,电动自行车的最高设计车速限值，以及其锂离子电池热失控报警后的...,309,4
12,cross_doc_compare,针对“防止擅自改装”，电动自行车安全技术规范提出了什么要求；...,342,4
13,should_refuse,哪个品牌的电动自行车最好用？...,180,4
14,should_refuse,现在买一辆电动自行车大概需要多少钱？...,168,4
15,should_refuse,周末骑电动自行车去哪里游玩比较好？...,151,4
